Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
985,No,No,Yes,Yes,OR,1993-04-26 00:00:00,DR,Earthquake,EARTHQUAKE,1993-03-25 00:00:00,1993-03-25 00:00:00,2001-03-16 00:00:00,99067.0,Washington (County),93044
985,No,No,Yes,Yes,OR,1993-04-26 00:00:00,DR,Earthquake,EARTHQUAKE,1993-03-25 00:00:00,1993-03-25 00:00:00,2001-03-16 00:00:00,99071.0,Yamhill (County),93044
947,No,Yes,Yes,Yes,CA,1992-07-02 00:00:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992-06-28 00:00:00,1992-10-31 00:00:00,2010-08-06 00:00:00,99065.0,Riverside (County),92023
947,No,Yes,Yes,Yes,CA,1992-07-02 00:00:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992-06-28 00:00:00,1992-10-31 00:00:00,2010-08-06 00:00:00,99071.0,San Bernardino (County),92023
943,No,Yes,Yes,Yes,CA,1992-05-04 00:00:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992-04-25 00:00:00,1992-05-25 00:00:00,2010-08-09 00:00:00,99023.0,Humboldt (County),92014
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99001.0,Alameda (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99013.0,Contra Costa (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99041.0,Marin (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99053.0,Monterey (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99067.0,Sacramento (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99069.0,San Benito (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99075.0,San Francisco (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99077.0,San Joaquin (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99081.0,San Mateo (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99085.0,Santa Clara (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99087.0,Santa Cruz (County),89043
845,No,Yes,Yes,Yes,CA,1989-10-18 00:00:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989-10-17 00:00:00,1989-12-18 00:00:00,2011-02-10 00:00:00,99095.0,Solano (County),89043
799,No,Yes,Yes,Yes,CA,1987-10-07 00:00:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1987-10-01 00:00:00,1987-11-20 00:00:00,2000-09-07 00:00:00,99037.0,Los Angeles (County),87028
